대표작 번호,감독,대표작
1,우민호,남산의 부장들
2,곽경택,장사리 : 잊혀진 영웅들
3,이종석,뮤지컬 파워레인저 : 애니멀포스
4,코랄리 파르쟈,리벤지
5,윤제완,뽀로로 극장판 바닷속 대모험
6,제프 파울러,수퍼 소닉2
7,사사키 시노부,극장판 짱구는 못말려: 우리들의 공룡일기
8,존 추,인 더 하이츠
9,데이비드 데릭 주니어,모아나2
10,배리 젠킨스,빌 스트리트가 말할 수 있다면
11,김성제,소수의견
12,현해리,폭락
13,이와이 슌지,8일 만에 죽은 괴수의 12일 이야기
14,로버트 에거스,노스맨
15,데이빗 예이츠,신비한 동물들과 덤블도어의 비밀
16,우테 폰 뮌쇼폴,래빗스쿨 2: 부활절 대소동
17,타셈 싱,에메랄드 시티
18,쿠로카와 토모유키,데드데드 데몬즈 디디디디 디스트럭션: 파트2
19,피터 잭슨,비틀즈 겟 백: 루프탑 콘서트
20,제시 아이젠버그,리얼 페인
21,,
22,알렉스 가랜드,멘
23,마이클 만,블랙코드
24,크리스토퍼 놀란,오펜하이머
25,토마스 알프레드슨,스노우맨
26,이현지,한밤의 판타지아
27,팀 밀란츠,이처럼 사소한 것들
28,최원섭,히트맨
29,오기가미 나오코,강변의 무코리타
30,조슈아 존 밀러,더 엑소시즘
31,서유민,내일의 기억
32,켈리 라이카트,퍼스트 카우
33,박성후,극장판 주술회전 0
34,셀린 시아마,쁘띠 마망
35,양우석,강철비2: 정상회담
36,오윤동,태용: 티와이 트랙 인 시네마
37,루카 비오토,성 베드로 대성당과 로마의 교황청 대성당들
38,임순례,교섭
39,야마시타 노부히로,고백
40,아에몽,퍼스트레이디
41,손석,신화 라이브 3D 더 레전드 컨티뉴스
42,이안,제미니 맨
43,신카이 마코토,날씨의 아이
44,우치다 에이지,가부키초의 탐정 마리코
45,장만민,히스테리아
46,캐리 주스넌,니코 : 산타비행단의 모험
47,,
48,허우 샤오시엔,자객 섭은낭
49,리차드 클라우스,아인보: 아마존의 전설
50,,
