1,현빈,교섭
2,박정민,얼굴
3,조우진,외계+인 1부
4,전여빈,검은 수녀들
5,박훈,노량 : 죽음의 바다
6,유재명,소방관
7,릴리 프랭키,남은 인생 10년
8,이동욱,해피 뉴 이어
9,주원,특근
10,곽도원,강철비2: 정상회담
11,이유영,세기말의 사랑
12,김민재,범죄도시4
13,오대환,베테랑2
14,이준혁,서울의 봄
15,장영남,탈주
16,박지현,히든페이스
17,최시원,SMTOWN THE STAGE
18,성동일,악마가 이사왔다
19,데미 무어,락다운 213주
20,마가렛 퀄리,카인드 오브 카인드니스
21,데니스 퀘이드,스트레인지 월드
22,이선,뽀로로 극장판 드래곤캐슬 대모험
23,이미자,뽀로로 극장판 드래곤캐슬 대모험
24,함수정,뽀로로 극장판 공룡섬 대모험
25,홍소영,사랑의 하츄핑
26,정미숙,뽀로로 극장판 드래곤캐슬 대모험
27,김서영,날씨의 아이
28,김환진,극장판 짱구는 못말려: 우리들의 공룡일기
29,한신,레오나르도 다 빈치
30,엄상현,바다 탐험대 옥토넛 어보브 앤 비욘드: 바다가 위험해
31,윤용식,이상한 나라의 달빛요정
32,짐 캐리,수퍼 소닉2
33,벤 슈와츠,수퍼 소닉2
34,제임스 마스던,수퍼 소닉2
35,티카 섬터,수퍼 소닉2
36,이드리스 엘바,수퍼 소닉2
37,키아누 리브스,발레리나
38,박영남,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들
39,강희선,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들
40,김환진,뽀로로 극장판 바닷속 대모험
41,신시아 에리보,카오스 워킹
42,아리아나 그란데,돈 룩 업
43,양자경,베니스 유령 살인사건
44,제프 골드브럼,애스터로이드 시티
45,조나단 베일리,영 메시아
46,에단 슬레이터,
47,브론윈 제임스,드래곤 길들이기
48,아우이 크라발호,주먹왕 랄프 2: 인터넷 속으로
49,드웨인 존슨,레드 원
50,아론 피에르,
51,켈빈 해리슨 주니어,엘비스
52,존 카니,라이온 킹
